route_id,scenario_label,description,pid_lateral_error_mean_abs_m,mpc_lateral_error_mean_abs_m,pid_max_lateral_error_abs_m,mpc_max_lateral_error_abs_m,pid_total_maneuver_time_s,mpc_total_maneuver_time_s,pid_changing_left_min_front_distance_m,mpc_changing_left_min_front_distance_m,pid_steer_rate_mean_abs,mpc_steer_rate_mean_abs,pid_controller_compute_time_mean_ms,mpc_controller_compute_time_mean_ms,pid_final_state,mpc_final_state,pid_unsafe_overtake_count,mpc_unsafe_overtake_count,pid_fail_safe_event_count,mpc_fail_safe_event_count,pid_waiting_time_s,mpc_waiting_time_s
RouteScenario_0_rep0,Scenario 0,"ostacolo parcheggiato sulla corsia, senza altri veicoli interferenti",0.18443301793936856,0.3060086468649768,1.7577898365641431,1.736549538475046,8.50000012665987,10.400000154972076,7.37191104888916,5.936981678009033,0.23932810224876883,0.18160064701808698,2.6036891829587856,30.738856450041734,follow_lane,follow_lane,0,1,0,0,2.0000000298023224,1.0000000149011612
RouteScenario_1_rep0,Scenario 1,ostacolo parcheggiato con veicolo nella corsia adiacente in stesso senso di marcia,0.15337128049281248,0.25392436256692147,1.73947159605801,1.754844890801678,14.150000210851431,17.150000255554914,7.277843952178955,5.590270042419434,0.2096575697869247,0.15415467999985957,2.4152062798722014,25.74952495332872,follow_lane,follow_lane,0,1,2,0,1.4500000216066837,1.5000000223517418
RouteScenario_2_rep0,Scenario 2,ostacolo parcheggiato con veicolo in arrivo nella corsia adiacente in senso opposto,0.15170048268505967,0.2565442779919738,1.7292482092142194,1.7405779255793732,14.850000221282244,17.850000265985727,4.98004150390625,3.762632369995117,0.2132035369089173,0.14380198416001527,2.4203974685779097,29.531069912349796,follow_lane,follow_lane,0,1,3,0,7.1000001057982445,6.550000097602606
